#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                JAPANESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:46 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to JAPANESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# JA16VMS                       829 no
# JA16EUC                       830 no
# JA16EUCYEN                    831 no
# JA16SJIS                      832 yes
# JA16DBCS                      833 yes
# JA16SJISYEN                   834 yes
# JA16EBCDIC930                 835 yes
# JA16MACSJIS                   836 no
# JA16TSTSET2                   997 no
# JA16TSTSET                    998 no
# JA16EUCFIXED                 1830 no
# JA16SJISFIXED                1832 yes
# JA16DBCSFIXED                1833 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:832     ID:833     ID:834     ID:835     ID:1832    ID:1833   
#--------- ---------- ---------- ---------- ---------- ---------- ----------
E000       F040       6941       F040       6941       F040       6941      
E001       F041       6942       F041       6942       F041       6942      
E002       F042       6943       F042       6943       F042       6943      
E003       F043       6944       F043       6944       F043       6944      
E004       F044       6945       F044       6945       F044       6945      
E005       F045       6946       F045       6946       F045       6946      
E006       F046       6947       F046       6947       F046       6947      
E007       F047       6948       F047       6948       F047       6948      
E008       F048       6949       F048       6949       F048       6949      
E009       F049       694A       F049       694A       F049       694A      
E00A       F04A       694B       F04A       694B       F04A       694B      
E00B       F04B       694C       F04B       694C       F04B       694C      
E00C       F04C       694D       F04C       694D       F04C       694D      
E00D       F04D       694E       F04D       694E       F04D       694E      
E00E       F04E       694F       F04E       694F       F04E       694F      
E00F       F04F       6950       F04F       6950       F04F       6950      
E010       F050       6951       F050       6951       F050       6951      
E011       F051       6952       F051       6952       F051       6952      
E012       F052       6953       F052       6953       F052       6953      
E013       F053       6954       F053       6954       F053       6954      
E014       F054       6955       F054       6955       F054       6955      
E015       F055       6956       F055       6956       F055       6956      
E016       F056       6957       F056       6957       F056       6957      
E017       F057       6958       F057       6958       F057       6958      
E018       F058       6959       F058       6959       F058       6959      
E019       F059       695A       F059       695A       F059       695A      
E01A       F05A       695B       F05A       695B       F05A       695B      
E01B       F05B       695C       F05B       695C       F05B       695C      
E01C       F05C       695D       F05C       695D       F05C       695D      
E01D       F05D       695E       F05D       695E       F05D       695E      
E01E       F05E       695F       F05E       695F       F05E       695F      
E01F       F05F       6960       F05F       6960       F05F       6960      
E020       F060       6961       F060       6961       F060       6961      
E021       F061       6962       F061       6962       F061       6962      
E022       F062       6963       F062       6963       F062       6963      
E023       F063       6964       F063       6964       F063       6964      
E024       F064       6965       F064       6965       F064       6965      
E025       F065       6966       F065       6966       F065       6966      
E026       F066       6967       F066       6967       F066       6967      
E027       F067       6968       F067       6968       F067       6968      
E028       F068       6969       F068       6969       F068       6969      
