#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                KOREAN character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:39:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to KOREAN language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# KO16KSC5601                   840 no
# KO16DBCS                      842 yes
# KO16KSCCS                     845 no
# KO16MSWIN949                  846 yes
# KO16TSTSET                    996 no
# KO16KSC5601FIXED             1840 no
# KO16DBCSFIXED                1842 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:842     ID:846     ID:1842   
#--------- ---------- ---------- ----------
E000       D441       C9A1       D441      
E001       D442       C9A2       D442      
E002       D443       C9A3       D443      
E003       D444       C9A4       D444      
E004       D445       C9A5       D445      
E005       D446       C9A6       D446      
E006       D447       C9A7       D447      
E007       D448       C9A8       D448      
E008       D449       C9A9       D449      
E009       D44A       C9AA       D44A      
E00A       D44B       C9AB       D44B      
E00B       D44C       C9AC       D44C      
E00C       D44D       C9AD       D44D      
E00D       D44E       C9AE       D44E      
E00E       D44F       C9AF       D44F      
E00F       D450       C9B0       D450      
E010       D451       C9B1       D451      
E011       D452       C9B2       D452      
E012       D453       C9B3       D453      
E013       D454       C9B4       D454      
E014       D455       C9B5       D455      
E015       D456       C9B6       D456      
E016       D457       C9B7       D457      
E017       D458       C9B8       D458      
E018       D459       C9B9       D459      
E019       D45A       C9BA       D45A      
E01A       D45B       C9BB       D45B      
E01B       D45C       C9BC       D45C      
E01C       D45D       C9BD       D45D      
E01D       D45E       C9BE       D45E      
E01E       D45F       C9BF       D45F      
E01F       D460       C9C0       D460      
E020       D461       C9C1       D461      
E021       D462       C9C2       D462      
E022       D463       C9C3       D463      
E023       D464       C9C4       D464      
E024       D465       C9C5       D465      
E025       D466       C9C6       D466      
E026       D467       C9C7       D467      
E027       D468       C9C8       D468      
E028       D469       C9C9       D469      
E029       D46A       C9CA       D46A      
E02A       D46B       C9CB       D46B      
E02B       D46C       C9CC       D46C      
E02C       D46D       C9CD       D46D      
E02D       D46E       C9CE       D46E      
E02E       D46F       C9CF       D46F      
E02F       D470       C9D0       D470      
E030       D471       C9D1       D471      
E031       D472       C9D2       D472      
E032       D473       C9D3       D473      
E033       D474       C9D4       D474      
E034       D475       C9D5       D475      
E035       D476       C9D6       D476      
E036       D477       C9D7       D477      
E037       D478       C9D8       D478      
E038       D479       C9D9       D479      
E039       D47A       C9DA       D47A      
E03A       D47B       C9DB       D47B      
E03B       D47C       C9DC       D47C      
E03C       D47D       C9DD       D47D      
E03D       D47E       C9DE       D47E      
E03E       D47F       C9DF       D47F      
E03F       D481       C9E0       D481      
E040       D482       C9E1       D482      
E041       D483       C9E2       D483      
E042       D484       C9E3       D484      
E043       D485       C9E4       D485      
E044       D486       C9E5       D486      
E045       D487       C9E6       D487      
E046       D488       C9E7       D488      
E047       D489       C9E8       D489      
E048       D48A       C9E9       D48A      
E049       D48B       C9EA       D48B      
E04A       D48C       C9EB       D48C      
E04B       D48D       C9EC       D48D      
E04C       D48E       C9ED       D48E      
E04D       D48F       C9EE       D48F      
E04E       D490       C9EF       D490      
E04F       D491       C9F0       D491      
E050       D492       C9F1       D492      
E051       D493       C9F2       D493      
E052       D494       C9F3       D494      
E053       D495       C9F4       D495      
E054       D496       C9F5       D496      
E055       D497       C9F6       D497      
E056       D498       C9F7       D498      
E057       D499       C9F8       D499      
E058       D49A       C9F9       D49A      
E059       D49B       C9FA       D49B      
E05A       D49C       C9FB       D49C      
E05B       D49D       C9FC       D49D      
E05C       D49E       C9FD       D49E      
E05D       D49F       C9FE       D49F      
E05E       D4A0       FEA1       D4A0      
E05F       D4A1       FEA2       D4A1      
E060       D4A2       FEA3       D4A2      
E061       D4A3       FEA4       D4A3      
E062       D4A4       FEA5       D4A4      
E063       D4A5       FEA6       D4A5      
E064       D4A6       FEA7       D4A6      
E065       D4A7       FEA8       D4A7      
E066       D4A8       FEA9       D4A8      
E067       D4A9       FEAA       D4A9      
E068       D4AA       FEAB       D4AA      
E069       D4AB       FEAC       D4AB      
E06A       D4AC       FEAD       D4AC      
E06B       D4AD       FEAE       D4AD      
E06C       D4AE       FEAF       D4AE      
E06D       D4AF       FEB0       D4AF      
E06E       D4B0       FEB1       D4B0      
E06F       D4B1       FEB2       D4B1      
E070       D4B2       FEB3       D4B2      
E071       D4B3       FEB4       D4B3      
E072       D4B4       FEB5       D4B4      
E073       D4B5       FEB6       D4B5      
E074       D4B6       FEB7       D4B6      
E075       D4B7       FEB8       D4B7      
E076       D4B8       FEB9       D4B8      
