#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                SIMPLIFIED CHINESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to SIMPLIFIED CHINESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# ZHS16CGB231280                850 no
# ZHS16MACCGB231280             851 no
# ZHS16GBK                      852 yes
# ZHS16DBCS                     853 yes
# ZHS16CGB231280FIXED          1850 no
# ZHS16GBKFIXED                1852 yes
# ZHS16DBCSFIXED               1853 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:852     ID:853     ID:1852    ID:1853   
#--------- ---------- ---------- ---------- ----------
E000       AAA1       7641       AAA1       7641      
E001       AAA2       7642       AAA2       7642      
E002       AAA3       7643       AAA3       7643      
E003       AAA4       7644       AAA4       7644      
E004       AAA5       7645       AAA5       7645      
E005       AAA6       7646       AAA6       7646      
E006       AAA7       7647       AAA7       7647      
E007       AAA8       7648       AAA8       7648      
E008       AAA9       7649       AAA9       7649      
E009       AAAA       764A       AAAA       764A      
E00A       AAAB       764B       AAAB       764B      
E00B       AAAC       764C       AAAC       764C      
E00C       AAAD       764D       AAAD       764D      
E00D       AAAE       764E       AAAE       764E      
E00E       AAAF       764F       AAAF       764F      
E00F       AAB0       7650       AAB0       7650      
E010       AAB1       7651       AAB1       7651      
E011       AAB2       7652       AAB2       7652      
E012       AAB3       7653       AAB3       7653      
E013       AAB4       7654       AAB4       7654      
E014       AAB5       7655       AAB5       7655      
E015       AAB6       7656       AAB6       7656      
E016       AAB7       7657       AAB7       7657      
E017       AAB8       7658       AAB8       7658      
E018       AAB9       7659       AAB9       7659      
E019       AABA       765A       AABA       765A      
E01A       AABB       765B       AABB       765B      
E01B       AABC       765C       AABC       765C      
E01C       AABD       765D       AABD       765D      
E01D       AABE       765E       AABE       765E      
E01E       AABF       765F       AABF       765F      
E01F       AAC0       7660       AAC0       7660      
E020       AAC1       7661       AAC1       7661      
E021       AAC2       7662       AAC2       7662      
E022       AAC3       7663       AAC3       7663      
E023       AAC4       7664       AAC4       7664      
E024       AAC5       7665       AAC5       7665      
E025       AAC6       7666       AAC6       7666      
E026       AAC7       7667       AAC7       7667      
E027       AAC8       7668       AAC8       7668      
E028       AAC9       7669       AAC9       7669      
E029       AACA       766A       AACA       766A      
E02A       AACB       766B       AACB       766B      
