#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                TRADITIONAL CHINESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:26 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to TRADITIONAL CHINESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# ZHT32EUC                      860 no
# ZHT32SOPS                     861 no
# ZHT16DBT                      862 no
# ZHT32TRIS                     863 no
# ZHT16DBCS                     864 yes
# ZHT16BIG5                     865 no
# ZHT16CCDC                     866 no
# ZHT16MSWIN950                 867 yes
# ZHT32EUCFIXED                1860 no
# ZHT32TRISFIXED               1863 no
# ZHT16DBCSFIXED               1864 yes
# ZHT16BIG5FIXED               1865 no
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:864     ID:867     ID:1864   
#--------- ---------- ---------- ----------
E000       C241       FA40       C241      
E001       C242       FA41       C242      
E002       C243       FA42       C243      
E003       C244       FA43       C244      
E004       C245       FA44       C245      
E005       C246       FA45       C246      
E006       C247       FA46       C247      
E007       C248       FA47       C248      
E008       C249       FA48       C249      
E009       C24A       FA49       C24A      
E00A       C24B       FA4A       C24B      
E00B       C24C       FA4B       C24C      
E00C       C24D       FA4C       C24D      
E00D       C24E       FA4D       C24E      
E00E       C24F       FA4E       C24F      
E00F       C250       FA4F       C250      
E010       C251       FA50       C251      
E011       C252       FA51       C252      
E012       C253       FA52       C253      
E013       C254       FA53       C254      
E014       C255       FA54       C255      
E015       C256       FA55       C256      
E016       C257       FA56       C257      
E017       C258       FA57       C258      
E018       C259       FA58       C259      
E019       C25A       FA59       C25A      
E01A       C25B       FA5A       C25B      
E01B       C25C       FA5B       C25C      
E01C       C25D       FA5C       C25D      
E01D       C25E       FA5D       C25E      
E01E       C25F       FA5E       C25F      
E01F       C260       FA5F       C260      
E020       C261       FA60       C261      
E021       C262       FA61       C262      
E022       C263       FA62       C263      
E023       C264       FA63       C264      
E024       C265       FA64       C265      
E025       C266       FA65       C266      
E026       C267       FA66       C267      
E027       C268       FA67       C268      
E028       C269       FA68       C269      
E029       C26A       FA69       C26A      
E02A       C26B       FA6A       C26B      
E02B       C26C       FA6B       C26C      
E02C       C26D       FA6C       C26D      
E02D       C26E       FA6D       C26E      
E02E       C26F       FA6E       C26F      
E02F       C270       FA6F       C270      
E030       C271       FA70       C271      
E031       C272       FA71       C272      
E032       C273       FA72       C273      
E033       C274       FA73       C274      
E034       C275       FA74       C275      
E035       C276       FA75       C276      
E036       C277       FA76       C277      
E037       C278       FA77       C278      
E038       C279       FA78       C279      
E039       C27A       FA79       C27A      
E03A       C27B       FA7A       C27B      
E03B       C27C       FA7B       C27C      
E03C       C27D       FA7C       C27D      
E03D       C27E       FA7D       C27E      
E03E       C27F       FA7E       C27F      
E03F       C281       FAA1       C281      
E040       C282       FAA2       C282      
E041       C283       FAA3       C283      
E042       C284       FAA4       C284      
E043       C285       FAA5       C285      
E044       C286       FAA6       C286      
E045       C287       FAA7       C287      
E046       C288       FAA8       C288      
E047       C289       FAA9       C289      
E048       C28A       FAAA       C28A      
E049       C28B       FAAB       C28B      
E04A       C28C       FAAC       C28C      
E04B       C28D       FAAD       C28D      
E04C       C28E       FAAE       C28E      
E04D       C28F       FAAF       C28F      
E04E       C290       FAB0       C290      
E04F       C291       FAB1       C291      
E050       C292       FAB2       C292      
E051       C293       FAB3       C293      
E052       C294       FAB4       C294      
E053       C295       FAB5       C295      
E054       C296       FAB6       C296      
E055       C297       FAB7       C297      
E056       C298       FAB8       C298      
E057       C299       FAB9       C299      
E058       C29A       FABA       C29A      
E059       C29B       FABB       C29B      
E05A       C29C       FABC       C29C      
